date,days_elapsed,Uw,ip,Tair,Twater,amc,ET,Hw,Tw,t,site_plot,Zs,A,dHw,Vw,dt,Qip,QET,dVw,Qg,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check
2020-05-05,490,4.649216,0,7.222222222222222,8.277777777777779,1,0.32173092787778124,0.4271373525722879,10.675665419778706,349,OCSP.2,75.18614762,1,0.002466213215541302,0.4271373525722879,1,0,0.0032173092787778123,0.002466213215541302,0,0.005683522494319114,0,-0,0.005683522494319114,0,0
2020-05-06,491,1.609344,0,7.777777777777778,8.722222222222221,1,0.5619349604362384,0.4077532534020918,10.686056702225295,350,OCSP.2,75.18614762,1,-0.019384099170196123,0.4077532534020918,1,0,0.005619349604362384,-0.019384099170196123,0,-0.013764749565833739,0,-0.013764749565833739,0,0,-0.027529499131667478
2020-05-07,492,2.8163519999999997,0.0762,9.444444444444445,10.055555555555557,1,0.5665911319497585,0.35216548071174714,11.263836180722272,351,OCSP.2,75.18614762,1,-0.05558777269034465,0.35216548071174714,1,7.620000000000001e-4,0.0056659113194975855,-0.05558777269034465,0,-0.050683861370847065,0,-0.050683861370847065,0,0,-0.10136772274169413
2020-05-08,493,3.933952,0.254,6.666666666666666,7.833333333333333,1,0.5178458083314097,0.2654548838210502,11.084413881655092,352,OCSP.2,75.18614762,1,-0.08671059689069693,0.2654548838210502,1,0.00254,0.005178458083314097,-0.08671059689069693,0,-0.08407213880738283,0,-0.08407213880738283,0,0,-0.16814427761476566
2020-05-09,494,5.990336,0.1778,2.7777777777777777,4.722222222222222,1,0.38277330523168146,0.16890252974206987,7.4633998929718395,353,OCSP.2,75.18614762,1,-0.09655235407898033,0.16890252974206987,1,0.001778,0.0038277330523168148,-0.09655235407898033,0,-0.09450262102666351,0,-0.09450262102666351,0,0,-0.18900524205332703
2020-05-10,495,4.4704,0.9017000000000001,7.777777777777778,8.722222222222221,1,0.6191485432834224,0.09247103302847393,7.728207729480885,354,OCSP.2,75.18614762,1,-0.07643149671359595,0.09247103302847393,1,0.009017,0.006191485432834224,-0.07643149671359595,0,-0.07925701128076172,0,-0.07925701128076172,0,0,-0.15851402256152344
2020-05-11,496,2.592832,1.6256000000000002,7.222222222222222,8.277777777777779,2,0.44663896232225114,0.05474018380213863,7.9392993450164795,355,OCSP.2,75.18614762,1,-0.037730849226335295,0.05474018380213863,1,0.016256000000000003,0.004466389623222511,-0.037730849226335295,0,-0.04952045960311279,0,-0.04952045960311279,0,0,-0.09904091920622557
2020-05-12,497,5.096256,0,6.111111111111111,7.388888888888889,2,0.6542038141365913,0.10624229410211683,9.05045552018248,356,OCSP.2,75.18614762,1,0.0515021102999782,0.10624229410211683,1,0,0.006542038141365914,0.0515021102999782,0,0.05804414844134411,0,-0,0.05804414844134411,0,0
2020-05-13,498,4.112768,0,7.777777777777778,8.722222222222221,2,0.45886642526466837,0.10940221985967469,10.183834308459435,357,OCSP.2,75.18614762,1,0.0031599257575578577,0.10940221985967469,1,0,0.004588664252646684,0.0031599257575578577,0,0.007748590010204542,0,-0,0.007748590010204542,0,0
2020-05-14,499,1.654048,0,10.555555555555555,10.944444444444445,1,0.4021659120969976,0.09348449836434725,11.982272627912922,358,OCSP.2,75.18614762,1,-0.01591772149532744,0.09348449836434725,1,0,0.004021659120969976,-0.01591772149532744,0,-0.011896062374357466,0,-0.011896062374357466,0,0,-0.02379212474871493
2020-05-15,500,3.79984,1.4731999999999998,16.666666666666668,15.833333333333336,2,0.45175849305401294,0.059791642794394306,14.892900637638421,359,OCSP.2,75.18614762,1,-0.03369285556995294,0.059791642794394306,1,0.014731999999999999,0.004517584930540129,-0.03369285556995294,0,-0.043907270639412806,0,-0.043907270639412806,0,0,-0.08781454127882563
2020-05-16,501,3.442208,0,13.88888888888889,13.611111111111112,2,0.5761876097110966,0.041731522016149825,13.607821582276143,360,OCSP.2,75.18614762,1,-0.01806012077824448,0.041731522016149825,1,0,0.005761876097110966,-0.01806012077824448,0,-0.012298244681133516,0,-0.012298244681133516,0,0,-0.02459648936226703
2020-05-17,502,1.8328639999999998,0,15.555555555555555,14.944444444444445,2,0.5268350596223347,0.0605665047473849,14.5118757383323,361,OCSP.2,75.18614762,1,0.018834982731235073,0.0605665047473849,1,0,0.0052683505962233465,0.018834982731235073,0,0.02410333332745842,0,-0,0.02410333332745842,0,0
2020-05-18,503,3.933952,0,16.11111111111111,15.38888888888889,2,0.5396160917123226,0.07422060764923799,14.83490726094187,362,OCSP.2,75.18614762,1,0.013654102901853093,0.07422060764923799,1,0,0.005396160917123226,0.013654102901853093,0,0.01905026381897632,0,-0,0.01905026381897632,0,0
2020-05-19,504,2.45872,0,13.333333333333332,13.166666666666666,2,0.27454310229745726,0.07305072052677986,14.719460393175666,363,OCSP.2,75.18614762,1,-0.0011698871224581353,0.07305072052677986,1,0,0.0027454310229745728,-0.0011698871224581353,0,0.0015755439005164375,0,-0,0.0015755439005164375,0,0
2020-05-20,505,2.101088,0,15.555555555555555,14.944444444444445,2,0.390212837956882,0.04680488666681981,15.826048424214493,364,OCSP.2,75.18614762,1,-0.026245833859960044,0.04680488666681981,1,0,0.00390212837956882,-0.026245833859960044,0,-0.022343705480391225,0,-0.022343705480391225,0,0,-0.04468741096078245
2020-05-21,506,3.79984,0,20,18.5,2,0.5301344469949811,0.01924902460309852,15.466504906430655,365,OCSP.2,75.18614762,1,-0.027555862063721293,0.01924902460309852,1,0,0.005301344469949811,-0.027555862063721293,0,-0.02225451759377148,0,-0.02225451759377148,0,0,-0.04450903518754296
2020-05-22,507,2.056384,0,20,18.5,2,0.7334764233806154,0,17.348826476085332,366,OCSP.2,75.18614762,1,-0.01924902460309852,0,1,0,0.007334764233806154,-0.01924902460309852,0,-0.011914260369292365,0,-0.011914260369292365,0,0,-0.02382852073858473
2020-05-23,508,3.889248,0,19.444444444444443,18.055555555555557,2,0.6160584106106437,0,16.708871082023336,367,OCSP.2,75.18614762,1,0,0,1,0,0.006160584106106437,0,0,0.006160584106106437,0,-0,0.006160584106106437,0,0
2020-05-24,509,4.425696,0,18.333333333333332,17.166666666666664,1,0.8289649215826866,0,14.79718186237194,368,OCSP.2,75.18614762,1,0,0,1,0,0.008289649215826866,0,0,0.008289649215826866,0,-0,0.008289649215826866,0,0
