site,plot,rep,YSF,frac_farmed,prior,MC60,WFPS,HCl.Pi,HCl.Po,TP.ign,LOI,BD,WEPw,Ox.P,Ox.Al,Ox.Fe,Ox.Mn,Ox.PSR,Ox.SPSC,depth
OCD,0,N,26.605236000000104,0,"uncertain
(unfarmed since 1993)",0.3291434544611448,0.13761710009938716,223.7137595600065,252.09834373794396,475.81210329795044,0.20565065332293372,0.6654037856966005,0.2908188290670764,294.4439486389972,1088.322592985458,2190.410639594685,81.02076651145589,0.0600841797854105,410.7814028629174,NA
OCD,0,S,26.605236000000104,0,"uncertain
(unfarmed since 1993)",0.32733255725814875,0.13146301933119034,278.3675244082154,360.4599290366275,638.8274534448428,0.09737118681768714,0.6670882833859915,0.23419730390237858,350.0369012742659,1194.5402883331355,2293.6289938350196,69.49846545076831,0.06628484251995438,421.3942885734216,NA
OCD,1,N,26.605236000000104,0,"uncertain
(unfarmed since 1993)",0.2733328742821565,0.15584043784423424,169.20408481755575,337.3088634144948,506.5129482320505,0.12886374832946318,0.878026044197061,0.030183134489256205,333.7933633500263,925.62054641228406,4092.4438281918233,525.8378589177221,0.04991220253418558,620.0357560319279,NA
OCD,1,S,26.605236000000104,0,"uncertain
(unfarmed since 1993)",0.2719261794602631,0.14526934068807243,219.80063458002195,393.15828459960085,612.9589191796227,0.0891818296654383,0.878076003342315,0.09253297411818732,327.0438164715954,935.2712186276206,3625.057910584657,447.2781311166995,0.053210119146411244,562.340886093921,NA
OCD,2,1,26.605236000000104,0,"uncertain
(unfarmed since 1993)",0.2818369029981092,0.15745073149117886,147.2291780036811,362.3726473363267,509.60182534000785,0.1343625892091172,0.9028136207169557,0.09385362924447972,344.92441478416214,1028.5133599641113,2795.8462766086245,108.79331107525279,0.06348173049123151,460.8676490882872,NA
OCD,2,2,26.605236000000104,0,"uncertain
(unfarmed since 1993)",0.2625310894112236,0.16474715945599955,154.24198027159096,427.68070257189015,581.922682843481,0.0719885528351326,0.9715991564668525,0.08826353667678556,284.17006472952994,901.0215766386546,3011.1174599831506,165.2770512266398,0.05277512255135676,489.5259228132096,NA
OCD,2,3,26.605236000000104,0,"uncertain
(unfarmed since 1993)",0.2713274575636997,0.1689200998757035,177.12689642935246,418.49278020232396,595.6196766316764,0.0762877971275893,0.9626506808289634,0.1231777835553563,313.47756220278853,884.8428309406457,2450.321866205546,103.29850766689577,0.06602511718324751,395.3847871571725,NA
OCD,3,N,26.605236000000104,0,"uncertain
(unfarmed since 1993)",0.1952928943522331,0.164116741447461,178.63117603411433,424.2915458196998,602.9227218538142,0.10191760774835198,1.2022991706075392,0.08019969961582843,306.247368456368,1007.7637703389474,3404.6933745881306,402.95196683978116,0.0504880051530688,557.8404527119202,NA
OCD,3,S,26.605236000000104,0,"uncertain
(unfarmed since 1993)",0.18522709646781918,0.13657392791112782,132.97411023080073,401.1568862304746,534.1309964612753,0.05617339018181543,1.1122027163293624,0.04087612369726563,289.1753063258662,901.5562242208593,3178.475836962314,391.4291402166313,0.05180427378178563,510.5415687779229,NA
OCD,4,N,26.605236000000104,0,"uncertain
(unfarmed since 1993)",0.2172752774567948,0.15318422460909262,159.74186659079714,381.24840200480435,540.9902685956015,0.12282383828918278,1.1145822061843407,0.06066430952483313,261.2111683095726,922.9654125150245,2650.4863531490764,179.55435197698029,0.0517003456402125,455.5783422105846,NA
OCD,4,S,26.605236000000104,0,"uncertain
(unfarmed since 1993)",0.19635245638808807,0.16919560312144205,100.01309642311107,302.74799483860835,402.76109126171934,0.05777538330788636,1.2626961462303998,0.07815851788088275,204.12321693561287,828.8773304507081,2756.326862863314,168.2155599647768,0.041207941839063955,473.68594011593734,NA
OCSP,0,N,24.605236000000104,0.1111111111111111,hay/pasture,0.3559977385083545,0.10340598172749325,160.94652147284708,467.935170046057,628.8816915189041,0.22038836677885268,0.40793332254327974,0.2800569668416281,210.79423044552814,836.6750312067385,786.7342217803883,22.010062201025473,0.07662559319477222,176.16184893488685,NA
