"","time","IM_a","IM_b","shootP","litterP","ROP_a","LOP_a","PIP_a","DIP_a","rootP","ROP_b","LOP_b","PIP_b","DIP_b"
"476",475,0,23740.7037354912,0.737887095381366,0.063935126373398,0,0,0,0.000219994037176113,1.71197676544234,8.04259695815631,0.17998075777835,11.8258028471866,0.0067024159639051
"477",476,0,23740.7037354912,0.738824280276333,0.0640336382866318,0,0,0,0.000219966187315664,1.71194034754978,8.04306731864176,0.180061985957045,11.8242525139303,0.00670190949026934
"478",477,0,23740.7037354912,0.739760401961649,0.0641321019745668,0,0,0,0.000219938355468367,1.71190383956371,8.04353786881032,0.180143160852857,11.8227032452887,0.00670140351219751
"479",478,0,23740.7037354912,0.740695461623795,0.064230516859733,0,0,0,0.000219910541621666,1.71186724169799,8.04400860854696,0.180224282538141,11.8211550404817,0.00670089802947802
"480",479,0,23740.7037354912,0.741629460448012,0.0643288823715858,0,0,0,0.00021988274576234,1.7118305541662,8.04447953773555,0.180305351080136,11.8196078987303,0.00670039304187478
"481",480,0,23740.7037354912,0.742562399618293,0.0644271979464369,0,0,0,0.000219854967876518,1.71179377718165,8.04495065625886,0.180386366541065,11.8180618192561,0.00669988854912763
"482",481,0,23740.7037354912,0.743494280317378,0.064525463027384,0,0,0,0.000219827207949688,1.71175691095736,8.04542196399859,0.180467328978245,11.8165168012816,0.00669938455095285
"483",482,0,23740.7037354912,0.744425103726753,0.0646236770642421,0,0,0,0.000219799465966715,1.71171995570608,8.04589346083538,0.180548238444181,11.8149728440298,0.00669888104704363
"484",483,0,23740.7037354912,0.745354871026644,0.0647218395134759,0,0,0,0.000219771741911853,1.71168291164024,8.04636514664882,0.180629094986678,11.8134299467246,0.00669837803707053
"485",484,0,23740.7037354912,0.746283583396011,0.0648199498381319,0,0,0,0.000219744035768755,1.711645778972,8.04683702131744,0.180709898648928,11.8118881085905,0.00669787552068195
"486",485,0,23740.7037354912,0.747211242012545,0.064918007507772,0,0,0,0.00021971634752049,1.7116085579132,8.04730908471876,0.180790649469617,11.8103473288525,0.00669737349750457
"487",486,0,23740.7037354912,0.748137848052665,0.0650160119984071,0,0,0,0.000219688677149553,1.71157124867538,8.0477813367293,0.180871347483018,11.8088076067363,0.00669687196714379
"488",487,0,23740.7037354912,0.749063402691512,0.0651139627924317,0,0,0,0.000219661024637875,1.71153385146978,8.04825377722456,0.180951992719086,11.8072689414682,0.00669637092918419
"489",488,0,23740.7037354912,0.749987907102947,0.0652118593785595,0,0,0,0.00021963338996684,1.71149636650729,8.04872640607907,0.181032585203548,11.8057313322748,0.00669587038318995
"490",489,0,23740.7037354912,0.750911362459545,0.0653097012517588,0,0,0,0.000219605773117296,1.7114587939985,8.04919922316637,0.181113124958002,11.8041947783834,0.00669537032870528
"491",490,0,23740.7037354912,0.751833769932595,0.0654074879131891,0,0,0,0.000219578174069563,1.71142113415367,8.04967222835905,0.181193612,11.8026592790216,0.00669487076525483
"492",491,0,23740.7037354912,0.752755130692091,0.0655052188701382,0,0,0,0.000219550592803446,1.71138338718274,8.05014542152874,0.181274046343141,11.8011248334174,0.00669437169234411
"493",492,0,23740.7037354912,0.753675445906733,0.0656028936359602,0,0,0,0.000219523029298251,1.71134555329529,8.05061880254615,0.18135442799716,11.7995914407994,0.00669387310945988
"494",493,0,23740.7037354912,0.754594716743924,0.0657005117300134,0,0,0,0.000219495483532789,1.71130763270057,8.05109237128104,0.181434756968008,11.7980591003962,0.00669337501607059
"495",494,0,23740.7037354912,0.755512944369763,0.0657980726775998,0,0,0,0.000219467955485392,1.7112696256075,8.05156612760228,0.181515033257945,11.7965278114372,0.00669287741162674
"496",495,0,23740.7037354912,0.756430129949045,0.0658955760099039,0,0,0,0.000219440445133923,1.71123153222463,8.05204007137783,0.181595256865618,11.7949975731517,0.00669238029556127
"497",496,0,23740.7037354912,0.757346274645257,0.0659930212639338,0,0,0,0.000219412952455785,1.71119335276017,8.05251420247475,0.181675427786143,11.7934683847694,0.00669188366728995
"498",497,0,23740.7037354912,0.758261379620573,0.0660904079824613,0,0,0,0.000219385477427932,1.71115508742198,8.05298852075924,0.18175554601119,11.7919402455203,0.00669138752621178
"499",498,0,23740.7037354912,0.759175446035856,0.0661877357139633,0,0,0,0.000219358020026882,1.71111673641754,8.05346302609662,0.18183561152906,11.7904131546346,0.00669089187170929
"500",499,0,23740.7037354912,0.760088475050651,0.0662850040125641,0,0,0,0.000219330580228725,1.71107829995398,8.05393771835134,0.181915624324763,11.7888871113427,0.00669039670314901
"501",500,0,23740.7037354912,0.761000467823184,0.0663822124379774,0,0,0,0.00021930315800913,1.71103977823806,8.05441259738705,0.181995584380096,11.7873621148751,0.00668990201988171
"502",501,0,23740.7037354912,0.76191142551036,0.0664793605554498,0,0,0,0.000219275753343362,1.71100117147618,8.05488766306652,0.182075491673721,11.7858381644626,0.00668940782124286
"503",502,0,23740.7037354912,0.762821349267758,0.0665764479357041,0,0,0,0.000219248366206285,1.71096247987434,8.05536291525171,0.182155346181234,11.7843152593359,0.00668891410655291
"504",503,0,23740.7037354912,0.763730240249631,0.0666734741548837,0,0,0,0.000219220996572377,1.71092370363819,8.05583835380379,0.182235147875245,11.782793398726,0.00668842087511768
"505",504,0,23740.7037354912,0.764638099608904,0.0667704387944974,0,0,0,0.000219193644415734,1.71088484297298,8.05631397858311,0.182314896725446,11.7812725818638,0.00668792812622863
"506",505,0,23740.7037354912,0.76554492849717,0.0668673414413645,0,0,0,0.000219166309710085,1.71084589808359,8.05678978944922,0.182394592698686,11.7797528079805,0.00668743585916327
"507",506,0,23740.7037354912,0.766450728064689,0.0669641816875606,0,0,0,0.000219138992428795,1.71080686917449,8.0572657862609,0.182474235759036,11.7782340763071,0.00668694407318546
"508",507,0,23740.7037354912,0.767355499460385,0.0670609591303641,0,0,0,0.000219111692544881,1.7107677564498,8.05774196887618,0.182553825867863,11.7767163860747,0.00668645276754568
"509",508,0,23740.7037354912,0.768259243831847,0.0671576733722033,0,0,0,0.000219084410031013,1.7107285601132,8.0582183371523,0.182633362983894,11.7751997365144,0.00668596194148144
"510",509,0,23740.7037354912,0.769161962325322,0.0672543240206033,0,0,0,0.00021905714485953,1.71068928036801,8.05869489094576,0.182712847063284,11.7736841268573,0.00668547159421751
"511",510,0,23740.7037354912,0.770063656085717,0.0673509106881345,0,0,0,0.000219029897002444,1.71064991741714,8.05917163011233,0.182792278059685,11.7721695563344,0.00668498172496627
"512",511,0,23740.7037354912,0.770964326256598,0.0674474329923607,0,0,0,0.00021900266643145,1.7106104714631,8.05964855450704,0.182871655924303,11.7706560241766,0.00668449233292802
"513",512,0,23740.7037354912,0.771863973980184,0.0675438905557881,0,0,0,0.000218975453117933,1.71057094270798,8.0601256639842,0.18295098060597,11.7691435296149,0.00668400341729122
"514",513,0,23740.7037354912,0.77276260039735,0.0676402830058152,0,0,0,0.000218948257032979,1.71053133135349,8.06060295839743,0.183030252051201,11.7676320718798,0.00668351497723287
"515",514,0,23740.7037354912,0.773660206647624,0.0677366099746821,0,0,0,0.000218921078147381,1.71049163760092,8.06108043759962,0.183109470204255,11.7661216502022,0.00668302701191872
"516",515,0,23740.7037354912,0.774556793869183,0.0678328710994217,0,0,0,0.000218893916431644,1.71045186165114,8.06155810144299,0.183188635007201,11.7646122638125,0.00668253952050358
"517",516,0,23740.7037354912,0.775452363198855,0.0679290660218099,0,0,0,0.000218866771856001,1.71041200370462,8.06203594977907,0.183267746399972,11.7631039119411,0.00668205250213163
"518",517,0,23740.7037354912,0.776346915772118,0.068025194388318,0,0,0,0.000218839644390411,1.71037206396141,8.06251398245874,0.183346804320423,11.7615965938181,0.00668156595593664
"519",518,0,23740.7037354912,0.777240452723095,0.0681212558500636,0,0,0,0.000218812534004574,1.71033204262114,8.06299219933217,0.183425808704396,11.7600903086735,0.00668107988104228
"520",519,0,23740.7037354912,0.778132975184557,0.0682172500627639,0,0,0,0.000218785440667934,1.71029193988302,8.06347060024892,0.183504759485768,11.7585850557371,0.00668059427656238
"521",520,0,23740.7037354912,0.77902448428792,0.068313176686688,0,0,0,0.000218758364349689,1.71025175594585,8.0639491850579,0.18358365659651,11.7570808342386,0.00668010914160117
"522",521,0,23740.7037354912,0.779914981163243,0.0684090353866106,0,0,0,0.000218731305018794,1.71021149100798,8.06442795360737,0.183662499966741,11.7555776434072,0.00667962447525355
"523",522,0,23740.7037354912,0.780804466939228,0.0685048258317657,0,0,0,0.000218704262643975,1.71017114526737,8.06490690574496,0.183741289524786,11.754075482472,0.00667914027660537
"524",523,0,23740.7037354912,0.781692942743222,0.0686005476958008,0,0,0,0.000218677237193729,1.71013071892152,8.06538604131771,0.183820025197222,11.752574350662,0.00667865654473363
"525",524,0,23740.7037354912,0.782580409701211,0.0686962006567318,0,0,0,0.000218650228636335,1.71009021216751,8.06586536017202,0.183898706908933,11.7510742472056,0.00667817327870675
"526",525,0,23740.7037354912,0.783466868937822,0.068791784396898,0,0,0,0.000218623236939858,1.71004962520201,8.06634486215371,0.183977334583165,11.7495751713313,0.00667769047758483
"527",526,0,23740.7037354912,0.784352321576324,0.0688872986029179,0,0,0,0.000218596262072158,1.71000895822124,8.06682454710799,0.184055908141567,11.7480771222669,0.00667720814041984
