t,yr,IM_a,IM_b,shootP,litterP,ROP_a,LOP_a,PIP_a,DIP_a,rootP,ROP_b,LOP_b,PIP_b,DIP_b,d_IM_a,d_IM_b,d_shootP,d_litterP,d_ROP_a,d_LOP_a,d_PIP_a,d_DIP_a,d_rootP,d_ROP_b,d_LOP_b,d_PIP_b,d_DIP_b,r_sed_IM,r_sed_OM,r_diffus,r_decay_litter,r_decay_labile,r_decay_refrac,r_mort_shoot,r_mort_root,r_adsorp,r_assim,shootM,rootM,BM,litterM,OM_a,OM_b,TM_a,TM_b,TP,H_b,Z_a,Z_w,H_w,H_a,LOI_a,LOI_b,BD_b,PD_a,PD_b,phi_a,phi_b,V_pore_a,V_pore_b,V_w_b,V_w_a,V_w,d_V_w,TW,Q_ET,Q_precip,Q_ground,Q_in,Q_out
0.1892476,0.0005181316,0.0007040922,29038.63,0.000572697,5.226554e-08,1.423522e-07,5.68888e-07,2.295341e-06,0.01300581,1.00039,7.252434,0.007392403,7.257425,0.0553851,0.003667061,8.833128e-05,0.003043154,5.552832e-07,7.495516e-07,2.992695e-06,1.195462e-05,0.05591645,0.002072852,0.0001941732,0.0007049509,-0.02080029,-0.04122228,0.1254541,0.01064459,1.011232,0.009704791,0.009704791,0,0.0009704791,0.0009704791,-0.2223056,0.006081564,0.572697,1000.39,1000.963,5.226554e-05,0.5734605,8260.216,0.5741646,37298.84,15.58661,0.1117713,0.01177129,0.5131996,0.5014283,-0.01177129,0.9987737,0.2214604,333706.8,2048962,2048962,1,0.8371337,-0.01177129,0.09356751,0.09356751,0.5014283,0.5949958,-0.003948079,19.55711,0.00683301,0.000817171,0,0.0005014283,0.003788579
0.1892476,0.0005181316,0.0007040922,29038.63,0.000572697,5.226557e-08,1.423522e-07,5.68888e-07,2.295341e-06,0.01300397,1.00039,7.252434,0.007392403,7.257424,0.05538787,0.003667061,8.833128e-05,0.003043154,5.552832e-07,7.495516e-07,2.992695e-06,1.195462e-05,0.05592256,0.002072852,0.0001941732,0.0007049509,-0.02079542,-0.04123325,0.1254541,0.01064459,1.011292,0.009704791,0.009704791,0,0.0009704791,0.0009704791,-0.2222535,0.006081564,0.572697,1000.39,1000.963,5.226557e-05,0.5734605,8260.216,0.5741646,37298.84,15.58661,0.1117713,0.01177129,0.5131996,0.5014283,-0.01177129,0.9987737,0.2214604,333706.8,2048962,2048962,1,0.8371337,-0.01177129,0.09356751,0.09356751,0.5014283,0.5949958,-0.003948079,19.55711,0.00683301,0.000817171,0,0.0005014283,0.003788579
0.2305535,0.0006312211,0.0008550807,29038.63,0.000698551,7.775131e-08,1.732882e-07,6.923795e-07,2.787563e-06,0.01523396,1.000476,7.252442,0.007421553,7.256507,0.05382255,0.003643679,0.0001073549,0.0030506,6.788589e-07,7.483426e-07,2.986649e-06,1.187839e-05,0.05228275,0.002077924,0.0001946732,0.0007064889,-0.0235134,-0.03491338,0.1255495,0.01065268,0.9735097,0.009728929,0.009728929,0,0.0009728929,0.0009728929,-0.2512989,0.006095402,0.698551,1000.476,1001.174,7.775131e-05,0.6994944,8260.339,0.7003494,37298.97,15.5866,0.1117727,0.01177273,0.5128202,0.5010475,-0.01177273,0.9987791,0.2214629,333703.6,2048956,2048956,1,0.8371348,-0.01177273,0.09356885,0.09356885,0.5010475,0.5946163,-0.002797685,19.59383,0.006797552,0.00099553,0,0.0005010475,0.003997723
0.2305535,0.0006312211,0.0008550807,29038.63,0.000698551,7.775129e-08,1.732882e-07,6.923795e-07,2.787563e-06,0.01523661,1.000476,7.252442,0.007421553,7.256508,0.0538188,0.003643679,0.0001073549,0.0030506,6.788589e-07,7.483426e-07,2.986649e-06,1.187839e-05,0.05227472,0.002077924,0.0001946732,0.0007064889,-0.02351999,-0.03489879,0.1255495,0.01065268,0.9734287,0.009728929,0.009728929,0,0.0009728929,0.0009728929,-0.2513693,0.006095402,0.698551,1000.476,1001.174,7.775129e-05,0.6994944,8260.339,0.7003494,37298.97,15.5866,0.1117727,0.01177273,0.5128202,0.5010475,-0.01177273,0.9987791,0.2214629,333703.6,2048956,2048956,1,0.8371348,-0.01177273,0.09356885,0.09356885,0.5010475,0.5946163,-0.002797685,19.59383,0.006797552,0.00099553,0,0.0005010475,0.003997723
0.2718594,0.0007443105,0.001005103,29038.63,0.0008247129,1.083592e-07,2.041738e-07,8.15619e-07,3.276635e-06,0.01732938,1.000562,7.25245,0.007450767,7.255487,0.05249266,0.003620269,0.0001262861,0.003058065,8.032962e-07,7.471078e-07,2.980497e-06,1.180208e-05,0.04924095,0.002083009,0.0001951745,0.0007080298,-0.02581689,-0.02960681,0.125645,0.01066079,0.9406847,0.009753128,0.009753128,0,0.0009753128,0.0009753128,-0.2759138,0.006109268,0.8247129,1000.562,1001.386,0.0001083592,0.8258411,8260.462,0.8268462,37299.09,15.5866,0.1117742,0.01177418,0.5124409,0.5006667,-0.01177418,0.9987844,0.2214655,333700.4,2048951,2048951,1,0.837136,-0.01177418,0.09357019,0.09357019,0.5006667,0.5942369,-0.001647291,19.63054,0.006762093,0.001173889,0,0.0005006667,0.004206867
0.2718594,0.0007443105,0.001005103,29038.63,0.0008247129,1.083592e-07,2.041738e-07,8.15619e-07,3.276635e-06,0.01733123,1.000562,7.25245,0.007450767,7.255487,0.05249,0.003620269,0.0001262861,0.003058065,8.032962e-07,7.471078e-07,2.980497e-06,1.180208e-05,0.04923541,0.002083009,0.0001951745,0.0007080298,-0.02582158,-0.0295966,0.125645,0.01066079,0.9406273,0.009753128,0.009753128,0,0.0009753128,0.0009753128,-0.2759638,0.006109268,0.8247129,1000.562,1001.386,0.0001083592,0.8258411,8260.462,0.8268462,37299.09,15.5866,0.1117742,0.01177418,0.5124409,0.5006667,-0.01177418,0.9987844,0.2214655,333700.4,2048951,2048951,1,0.837136,-0.01177418,0.09357019,0.09357019,0.5006667,0.5942369,-0.001647291,19.63054,0.006762093,0.001173889,0,0.0005006667,0.004206867
0.3131653,0.0008573999,0.001154157,29038.63,0.0009511836,1.44125e-07,2.350078e-07,9.386023e-07,3.762553e-06,0.01931015,1.000648,7.252458,0.007480045,7.254379,0.05136305,0.003596832,0.0001451244,0.003065548,9.285998e-07,7.458472e-07,2.974239e-06,1.172567e-05,0.04668409,0.002088105,0.0001956772,0.0007095736,-0.02776778,-0.02513859,0.1257406,0.0106689,0.9120765,0.009777387,0.009777387,0,0.0009777387,0.0009777387,-0.2967597,0.006123164,0.9511836,1000.648,1001.599,0.000144125,0.9525013,8260.586,0.9536554,37299.21,15.58659,0.1117756,0.01177564,0.5120615,0.5002859,-0.01177564,0.9987898,0.2214681,333697.2,2048946,2048946,1,0.8371371,-0.01177564,0.09357153,0.09357153,0.5002859,0.5938574,-0.0004968968,19.66726,0.006726635,0.001352248,0,0.0005002859,0.004416011
0.3131653,0.0008573999,0.001154157,29038.63,0.0009511836,1.44125e-07,2.350078e-07,9.386023e-07,3.762553e-06,0.0193107,1.000648,7.252458,0.007480045,7.254379,0.05136229,0.003596832,0.0001451244,0.003065548,9.285998e-07,7.458472e-07,2.974239e-06,1.172567e-05,0.04668256,0.002088105,0.0001956772,0.0007095736,-0.02776911,-0.02513574,0.1257406,0.0106689,0.9120602,0.009777387,0.009777387,0,0.0009777387,0.0009777387,-0.2967738,0.006123164,0.9511836,1000.648,1001.599,0.000144125,0.9525013,8260.586,0.9536554,37299.21,15.58659,0.1117756,0.01177564,0.5120615,0.5002859,-0.01177564,0.9987898,0.2214681,333697.2,2048946,2048946,1,0.8371371,-0.01177564,0.09357153,0.09357153,0.5002859,0.5938574,-0.0004968968,19.66726,0.006726635,0.001352248,0,0.0005002859,0.004416011
0.3544712,0.0009704894,0.001302243,29038.63,0.001077964,1.850845e-07,2.657892e-07,1.061325e-06,4.245313e-06,0.0211927,1.000734,7.252466,0.007509386,7.253197,0.05040469,0.00357337,0.0001638696,0.003073048,1.054774e-06,7.445607e-07,2.967877e-06,1.164919e-05,0.04452413,0.002093214,0.0001961813,0.0007111202,-0.02941716,-0.02136961,0.1258364,0.01067703,0.8870742,0.009801706,0.009801706,0,0.0009801706,0.0009801706,-0.3143827,0.006137088,1.077964,1000.734,1001.812,0.0001850845,1.079476,8260.709,1.080778,37299.34,15.58659,0.1117771,0.01177709,0.5116822,0.4999051,-0.01177709,0.9987951,0.2214707,333693.9,2048940,2048940,1,0.8371383,-0.01177709,0.09357288,0.09357288,0.4999051,0.593478,0.0006534974,19.70397,0.006691177,0.001530607,0,0.0004999051,0.004625154
0.3544712,0.0009704894,0.001302243,29038.63,0.001077964,1.850845e-07,2.657892e-07,1.061325e-06,4.245313e-06,0.02119316,1.000734,7.252466,0.007509386,7.253197,0.050404,0.00357337,0.0001638696,0.003073048,1.054774e-06,7.445607e-07,2.967877e-06,1.164919e-05,0.04452278,0.002093214,0.0001961813,0.0007111202,-0.02941837,-0.02136705,0.1258364,0.01067703,0.8870594,0.009801706,0.009801706,0,0.0009801706,0.0009801706,-0.3143956,0.006137088,1.077964,1000.734,1001.812,0.0001850845,1.079476,8260.709,1.080778,37299.34,15.58659,0.1117771,0.01177709,0.5116822,0.4999051,-0.01177709,0.9987951,0.2214707,333693.9,2048940,2048940,1,0.8371383,-0.01177709,0.09357288,0.09357288,0.4999051,0.593478,0.0006534974,19.70397,0.006691177,0.001530607,0,0.0004999051,0.004625154
